Category,block,opportunity_name,opportunity_code,opportunity_start_date,opportunity_end_date,opportunity_interest_rate,opportunity_amount_required,opportunity_sold,opportunity_sale_price,saleable,categoryId,transfer_date
NGAH,HVC,Debenture Subscription Agreement - Section 8 - HVC202,Section 8 - HVC202,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVC,Debenture Subscription Agreement - Section 10 - HVC204,Section 10 - HVC204,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVC,Debenture Subscription Agreement - Section 14 - HVC302,Section 14 - HVC302,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVC,Debenture Subscription Agreement - Section 16 - HVC304,Section 16 - HVC304,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVC,Debenture Subscription Agreement - Section 17 - HVC305,Section 17 - HVC305,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVD,Debenture Subscription Agreement - Section 28 - HVD302,Section 28 - HVD302,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVD,Debenture Subscription Agreement - Section 29 - HVD303,Section 29 - HVD303,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVD,Debenture Subscription Agreement - Section 30 - HVD304,Section 30 - HVD304,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVN,Debenture Subscription Agreement - Section 140 - HVN302,Section 140 - HVN302,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVN,Debenture Subscription Agreement - Section 141 - HVN303,Section 141 - HVN303,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVN,Debenture Subscription Agreement - Section 142 - HVN304,Section 142 - HVN304,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVP,Debenture Subscription Agreement - Section 163 - HVP203,Section 163 - HVP203,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,
NGAH,HVP,Debenture Subscription Agreement - Section 166 - HVP303,Section 166 - HVP303,2024-09-01,2026-09-01,14,950000,FALSE,1200000,FALSE,7,